Concept,Vision,Bright,Dark,Color,Pattern,Large,Small,Motion,Biomotion,Fast,Slow,Shape,Complexity,Face,Body,Touch,Hot,Cold,Smooth,Rough,Light,Heavy,Pain,Audition,Loud,Low,High,Sound,Music,Speech,Taste,Smell,Head,UpperLimb,LowerLimb,Practice,Landmark,Path,Scene,Near,Toward,Away,Number,Time,Duration,Long,Short,Caused,Consequential,Social,Human,Communication,Self,Cognition,Benefit,Harm,Pleasant,Unpleasant,Happy,Sad,Angry,Disgusted,Fearful,Surprised,Drive,Needs,Attention,Arousal
accident,4,3,4,4,4,0,4,4,4,4,5,4,4,4,0,0,4,3,0,0,"I'm happy to help! However, I need to know what ""this thing"" refers to. Could you please provide more context or clarify what you're referring to?",0,5,4,6,0,0,4,4,0,0,4,4,5,4,0,2,5,3,3,4,4,4,2,4,2,4,4,4,4,0,5,0,5,4,5,0,2,2,5,5,0,4,5,4,0,5,4
accordion,5,4,4,4,5,4,4,4,4,5,4,5,5,0,0,5,4,0,2,4,4,4,0,5,5,4,4,5,6,0,0,2,3,6,4,0,4,5,4,0,4,4,0,5,4,5,4,4,2,4,0,5,0,4,4,0,5,0,4,0,0,0,0,0,0,0,4,2
activist,4,4,4,5,4,0,3,4,4,5,4,5,4,0,0,0,0,0,0,0,4,4,4,4,4,0,0,4,2,5,4,3,4,4,2,0,2,5,5,4,4,5,3,4,4,4,4,5,5,6,0,5,0,4,5,2,4,0,4,2,4,0,0,3,5,0,5,5
actor,4,4,4,5,4,4,5,5,5,4,5,4,4,0,5,4,4,0,6,0,4,0,2,4,2,4,3,5,0,4,4,4,5,6,5,0,4,5,4,4,5,5,5,4,4,4,4,4,4,5,0,6,0,6,6,0,0,0,0,0,0,0,0,0,4,5,5,5
advantage,4,4,4,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,0,0,0,5,0,5,4,3,4,4,4,0,5,5,3,4,2,5,5,4,4,3,4,5,6,5,0,5,4,6,6,2,4,4,5,0,2,0,1,2,5,4,5,4
advice,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,5,0,0,0,0,0,4,0,0,4,4,4,0,0,5,2,4,0,4,5,4,2,2,2,5,5,6,0,6,0,5,6,0,5,0,5,0,0,0,0,2,4,4,4,2
aggressive,5,5,5,5,4,5,2,4,5,5,2,4,"I apologize, but you didn't provide a property for me to evaluate. Please provide the property, and I'll be happy to respond with a number from 0 to 6.",4,4,4,5,4,0,5,2,4,4,4,5,0,5,4,5,5,5,4,4,3,4,4,4,4,"Please provide the property, and I'll respond with a number from 0 to 6.",4,4,4,4,3,5,4,5,"I'm happy to provide a response, but I don't think you've specified the property you'd like me to evaluate. Could you please clarify what property you're referring to?",4,5,0,4,"I'm happy to help! However, I must clarify that I'm an AI assistant, and I don't have personal views, self-image, or emotions. I'm designed to provide objective and informative responses. Therefore, I'll respond with a 0, as I don't possess a self-image or personal opinions.",5,2,5,0,4,4,4,5,4,4,4,4,4,5,5
agreement,3,4,3,4,4,3,4,0,2,4,5,2,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,4,2,4,5,2,4,5,4,0,2,6,2,4,3,3,4,2,4,4,4,4,5,6,0,5,4,5,5,0,3,0,4,0,0,0,0,0,4,0,4,4
airport,5,5,4,4,4,5,4,5,4,4,5,5,5,0,0,0,0,0,0,0,0,0,2,0,5,0,0,4,0,0,0,5,0,0,1,0,5,5,6,2,5,6,2,4,5,4,4,0,4,4,0,2,0,0,5,0,4,0,1,0,0,0,0,0,0,0,1,4
alligator,6,0,5,5,5,5,0,0,4,0,5,6,4,0,0,4,0,5,0,5,0,5,2,1,4,0,0,4,0,0,5,4,4,0,1,0,2,4,5,0,2,3,0,0,0,0,0,"I apologize, but I need more context about ""this thing"" and ""alligator"" to provide a meaningful response. Please provide more information or clarify what you are referring to.",5,0,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,4,1
ambulance,6,3,4,5,3,5,4,6,4,6,4,6,4,0,0,2,4,0,0,0,4,5,5,5,5,6,5,6,0,0,0,4,0,0,0,0,2,5,5,2,4,5,5,1,4,2,5,6,5,5,0,2,0,0,6,0,0,0,0,1,0,0,0,0,0,0,5,2
analogy,4,4,3,4,0,0,5,4,4,4,4,4,4,0,4,0,0,0,0,0,0,4,0,1,0,0,0,4,0,4,0,1,5,5,5,0,2,5,4,4,5,4,4,3,3,2,2,4,4,4,0,6,4,5,5,0,4,0,4,0,0,0,0,0,5,5,4,5
angry,4,0,4,4,4,1,2,4,5,5,4,2,0,4,4,5,4,2,0,4,0,2,4,6,4,2,4,5,4,4,0,2,4,4,2,0,4,4,4,0,4,4,2,0,5,4,4,0,5,5,0,4,0,5,1,4,0,5,4,5,5,4,5,4,5,2,4,5
animosity,4,0,4,3,0,0,0,4,3,3,2,2,0,0,0,0,0,0,0,0,5,5,5,2,0,1,0,4,0,2,0,2,4,4,4,0,2,5,2,5,4,5,4,2,4,4,4,4,5,5,0,5,5,4,0,5,0,5,0,4,5,5,4,1,4,0,4,4
ant,5,4,0,4,5,0,5,4,5,5,5,4,"I'm happy to help! However, I don't see a ""thing"" being referred to. Could you please provide more context or clarify what you mean by ""this thing""? I'd be happy to assist you once I understand what you're referring to.",4,0,5,2,5,5,6,6,3,0,3,0,0,4,5,0,4,3,4,4,4,5,0,4,5,3,5,4,5,4,4,5,3,6,"Please provide the ""thing"" you'd like me to evaluate.","I'm happy to help! However, I don't see ""this thing"" referred to in our conversation. Could you please clarify or provide more context about what ""this thing"" is? I'll be happy to provide a response once I understand what you're referring to.",4,0,5,0,4,5,0,4,0,0,0,0,0,0,0,0,0,4,4
apartment,4,4,4,4,4,0,6,0,0,0,0,4,4,0,0,2,0,0,0,0,3,2,0,0,4,0,0,4,0,0,0,5,0,0,0,0,5,3,5,5,1,2,4,0,5,5,0,4,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0
apology,4,0,3,0,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,4,2,4,0,0,0,4,0,2,0,0,5,4,2,0,0,0,2,4,4,4,2,2,4,4,4,5,5,6,0,6,4,5,4,0,0,0,0,0,0,0,0,0,0,0,2,0
applause,2,2,0,0,0,0,2,5,5,5,2,2,2,0,0,2,0,0,0,0,0,2,0,6,6,2,4,5,1,0,0,0,0,6,0,0,2,0,4,2,5,4,4,4,5,4,6,5,5,6,0,6,4,2,1,0,4,0,5,0,0,0,0,0,4,0,4,4
approached,5,4,4,4,4,4,4,5,4,5,4,4,0,5,4,0,4,4,4,4,5,4,4,5,4,4,5,4,4,4,4,4,5,4,4,0,5,5,5,4,4,5,4,4,4,5,5,5,5,5,6,5,0,6,4,0,4,0,5,3,4,4,4,4,5,5,0,0
apricot,5,5,2,5,5,0,4,0,0,0,0,4,5,0,0,2,0,0,5,2,4,0,0,0,0,0,0,1,0,0,5,5,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,3,0,4,0,0,0,0,0,0,0,2,0
arm,5,0,"I'm happy to help! However, I think there might be some confusion. You didn't specify what ""this thing"" refers to. Could you please clarify what you'd like me to evaluate in terms of visual darkness?",4,5,4,4,0,4,5,4,5,"I'm happy to help! However, I don't see any ""thing"" or context provided. Could you please provide more information or describe what you're referring to? I'll be happy to assist you once I understand the context.",0,"(please provide the ""thing"" you'd like me to evaluate)",5,0,6,0,0,6,4,4,0,4,0,0,4,0,3,6,4,0,5,0,0,3,5,4,5,4,5,3,0,4,0,0,(I'm waiting for your prompt...),"I'm happy to help! However, I need to know what ""this thing"" refers to. Please provide more context or information about what you're asking about, and I'll do my best to provide a numerical response.",4,0,5,"I'm just an AI, I don't have a self-image, so:

0",5,6,0,3,0,0,0,0,0,0,0,4,0,4,0
army,4,4,4,5,4,4,4,4,4,5,5,5,"I apologize, but you didn't specify what ""this thing"" refers to. Please provide more context or clarify what you're asking about, and I'll be happy to help!",0,4,5,2,0,0,0,3,2,4,1,4,0,0,4,0,4,3,5,0,2,4,0,4,5,4,0,4,4,3,2,4,5,4,5,"I'm happy to respond, but I don't think we've discussed ""this thing"" or ""army"" yet. Could you please provide more context or clarify what you're referring to? I'd be happy to help once I understand what you're asking.",6,0,4,0,5,5,0,3,0,0,0,0,0,0,0,4,0,4,2
arrested,4,4,2,4,5,4,4,4,2,4,5,4,0,4,4,2,5,4,4,4,4,4,4,4,5,5,4,5,5,5,2,4,0,2,0,0,5,5,5,4,4,4,4,4,4,5,4,4,5,5,5,6,0,5,4,6,0,4,0,4,5,4,5,2,4,5,4,0
