Concept,Vision,Bright,Dark,Color,Pattern,Large,Small,Motion,Biomotion,Fast,Slow,Shape,Complexity,Face,Body,Touch,Hot,Cold,Smooth,Rough,Light,Heavy,Pain,Audition,Loud,Low,High,Sound,Music,Speech,Taste,Smell,Head,UpperLimb,LowerLimb,Practice,Landmark,Path,Scene,Near,Toward,Away,Number,Time,Duration,Long,Short,Caused,Consequential,Social,Human,Communication,Self,Cognition,Benefit,Harm,Pleasant,Unpleasant,Happy,Sad,Angry,Disgusted,Fearful,Surprised,Drive,Needs,Attention,Arousal
accident,6,4,6,6,4,5,5,6,3,1,2,0,3,4,0,3,3,6,0,"I don't have any information about ""this thing"" so I'll say 3.",3,0,5,5,3,5,4,3,0,3,0,4,6,5,0,0,4,6,0,2,6,5,3,4,1,4,2,5,5,4,0,6,3,4,6,6,3,6,5,6,0,3,3,4,1,5,5,3
accordion,6,4,4,0,5,3,3,4,5,5,5,5,5,1,3,6,0,0,4,3,2,3,3,4,3,2,3,5,6,0,5,4,6,5,3.5,2,4,0,5,2,6,5,4,2,0,6,2,3,3,4,1,2,0,2,4,0,5,0,3,3,0,0,0,0,0,3,4,0
activist,0,3,4,4,1,5,1,0,6,0,0,0,0,4,3,0,3,0,0,0,3,4,5,3,4,5,3,6,6,4,0,2,0,3,5,0,0,2,2,1,5,2,4,4,5,4,2,2,5,5,0,5,3,4,3,3,3,3,3,0,4,3,5,4,4,3,0,0
actor,3,0,4,0,3,5,3,0,5,0,0,6,3,4,5,1,0,4,0,4,I need more context or information about the actor. Could you provide more details?,3,0,0,0,0,0,0,3,6,3,3,5,4,6,0,1,5,6,0,3,5,5,4,2,4,2,3,0,4,5,3,0,4,3,3,6,I don't have enough information to respond.,3,0,0,3,0,3,6,0,4,0
advantage,4,0,4,2,4,3,4,3,5,1,6,0,3,1,6,3,0,"Sorry, but I can't carry out that request.",3,0,3,3,3,2,5,5,3,0,5,0,4,5,6,5,5,0,4,0,3,0,4,2,4,4,3,3,1,0,4,4,2,4,2,3.,6,0,4,5,2,0,5,0,2,4,6,6,4,3
advice,0,0,0,0,5,0,0,2,0,1,0,5,4,4,1,0,0,1,0,0,6,0,0,3,0,0,2,6,0,2,0,0,2,6,4,5,0,6,4,4,1,2,1,2,4,4,2,5,3,4,4,6,2,6,6,0,4,2,2,3,0,6,3,1,6,6,1,4
aggressive,6,4,6,4,0,3,6,5,4,0,5,0,0,4,1,0,5,1,0,3,5,1,3,0,4,4,6,5,2,5,0,3,4,3,6,0,3,0,6,5,0,5,2,2,3,3,4,2,3,3,5,1,4,2,0,1.,4,3,2,1,4,3,2,3,0,1,6,4
agreement,3,2,5,3,1,0,4,2,6,0,0,4,4,6,4,2,0,0,0,0,5,5,2,0,6,3,2,2,4,0,3,0,4,4,3,5,5,6,6,3,4,4,4,0,0,5,0,1,3,6,4,6,5,5,4,3,2,0,6,5,3,0,1,0,5,0,5,3
airport,3,3,3,4,2,0,3,0,3,0,0,6,5,0,4,3,(No input received about an airport being hot to the touch),0,0,4,0,0,6,5,4,3,5,4,1,0,4,4,4,1,1,0,0,0,4,3,5,5,3,4,5,2,0,4,4,1,1,6,0,3,6,1,4,2,0,0,0,0,3,5,0,0,4,3
alligator,6,2,4,2,6,5,1,6,4,5,4,6,2,3,0,6,0,3,0,4,0,2,3,2,6,4,1,4,3,0,0,4,2,6,6,0,4,5,5,0,4,4,3,2,4,3,0,4,5,4,0,4,0,4,3,2,3,2,0,0,3,2,2,0,0,0,2,0
ambulance,4,5,6,4,5,5,4,1,0,3,3,6,4,3,2,3,0,3,0,0,5,3,4,1,6,4,4,5,6,0,0,0,1,0,3,0,4,2,6,0,2,5,2,4,2,5,4,5,4,2,4,3,0,0,6,4,0,3,0,4,0,3,1,0,0,2,3,2
analogy,4,6,0,0,5,3,2,1,5,5,0,6,3,2,3,2,5,0,6,0,0,3,4,5,6,3,3,6,3,Cannot engage with this prompt,0,3,6,5,4,4,6,4,4,2,6,5,1,6,4,4,1,3,5,5,3,4,0,1,3,4,0,3,3,0,0,0,5,2,0,3,6,4
angry,6,2,3,1,2,4,6,3,3,0,0,1,0,0,0,3,2,5,3,3,0,4,5,5,0,2,3,0,3,2,0,0,3,4,0,0,2,5,0,2,3,2,4,6,6,6,0,0,5,4,3,0,0,5,2,2,0,0,2,3,6,5,4,0,2,4,5,2
animosity,6,0,0,3,4,5,1,3,2,6,3,4,0,0,0,0,0,3,0,0,4,6,4,4,6,0,4,4,0,1,0,0,5,6,3,0,2,3,0,6,1,4,0,2,3,2,2,3,1,5,0,3,3,5,4,0,2,0,0,3,5,2,2,2,4,0,4,6
ant,0,0,3,3,5,1,6,4,5,5,0,0,3,0,1,3,0,6,4,"Unfortunately, I don't have any information about the thing you are considering, so I will have to make an arbitrary guess.

4",1,2,2,0,3,1,6,3,3,2,4,5,2,4,5,0,3,0,6,3,3,4,0,0,4,0,2,0,2,0,0,5,0,6,5,0,5,0,0,0,0,0,0,0,0,4,4,0
apartment,5,3,3,5,0,5,5,3,5,2,4,4,2.75,0,3,6,0,3,3,0,0,0,0,0,0,2,3,3,0,0,0,3,5,4,5,0,3,2,4,0,0,5,0,4,2,0,4,I don't have the information needed to answer your question.,5,4,3,5,3,4,4,0,2,3,3,0,5,2,0,2,1,0,4,0
apology,5,4,5,2,1,4,5,0,0,0,4,3,0,4,4,3,0,0,0,3,4,0,2,5,6,4,6,4,6,2,1,0,5,4,4,0,0,4,0,5,4,4,3,3,5,3,4,6,5,6,3,5,4,4,4,2,3,3,4,5,6,0,0,6,1,3,4,1
applause,5,3,6,4,2,0,2,0,4,3,4,4,6,4,6,1,6,0,0,0,4,6,3,4,3,4,4,5,5,0,0,5,3,5,3,4,1,6,5,3,6,6,5,2,3,0,4,4,4,6,0,4,6,1,5,0,5,0,5,0,5,0,0,0,3,3,6,5
approached,5,6,3,0,3,3,4,3,3,2,2,2,0,0,4,1,2,5,5,0,4,3,5,4,4,0,4,5,3,2,2,4,0,5,1,0,5,4,5,1,4,4,4,2,5,6,3,3,4,5,6,6,2,6,3,0,4,0,1,3,2,0,5,2,3,2,0,3
apricot,0,4,2,4,4,0,2,5,5,0,4,2,4,4,0,3,4,4,0,4,0,1,2,0,0,3,0,1,2,2,4,4,4,5,1,0,3,4,2,0,0,2,6,3,0,0,0,4,4,0,1,2,0,2,0,0,3,0,0,0,0,0,0,1,1,0,0,5
arm,3,3,0,5,5,3,0,0,6,4,0,3,4,0,6,6,0,0,0,3,0,0,0,6,3,0,0,6,0,5,3,4,5,4,4,0,1,4,3,2,2,4,2,1,3,4,2,6,4,4,1,4,1,5,4,0,0,0,3,0,0,0,3,4,3,3,4,2
